arm	training_seed	task	run_name	attempt_path	checkpoint_path	checkpoint_sha256	training_code_revision	training_asset_revision	disposition	reason
C	0	Unitree-Z1-Hammer-CaT-Impulse	fsr4x8_c_seed0	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
C	1	Unitree-Z1-Hammer-CaT-Impulse	fsr4x8_c_seed1	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
C	2	Unitree-Z1-Hammer-CaT-Impulse	fsr4x8_c_seed2	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
C	3	Unitree-Z1-Hammer-CaT-Impulse	fsr4x8_c_seed3	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
C	4	Unitree-Z1-Hammer-CaT-Impulse	fsr4x8_c_seed4	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
C	5	Unitree-Z1-Hammer-CaT-Impulse	fsr4x8_c_seed5	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
C	6	Unitree-Z1-Hammer-CaT-Impulse	fsr4x8_c_seed6	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
C	7	Unitree-Z1-Hammer-CaT-Impulse	fsr4x8_c_seed7	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
D-prime	0	Unitree-Z1-Hammer-CaT-Impulse-FirstStrike-Legacy	fsr4x8_dprime_seed0	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
D-prime	1	Unitree-Z1-Hammer-CaT-Impulse-FirstStrike-Legacy	fsr4x8_dprime_seed1	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
D-prime	2	Unitree-Z1-Hammer-CaT-Impulse-FirstStrike-Legacy	fsr4x8_dprime_seed2	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
D-prime	3	Unitree-Z1-Hammer-CaT-Impulse-FirstStrike-Legacy	fsr4x8_dprime_seed3	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
D-prime	4	Unitree-Z1-Hammer-CaT-Impulse-FirstStrike-Legacy	fsr4x8_dprime_seed4	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
D-prime	5	Unitree-Z1-Hammer-CaT-Impulse-FirstStrike-Legacy	fsr4x8_dprime_seed5	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
D-prime	6	Unitree-Z1-Hammer-CaT-Impulse-FirstStrike-Legacy	fsr4x8_dprime_seed6	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
D-prime	7	Unitree-Z1-Hammer-CaT-Impulse-FirstStrike-Legacy	fsr4x8_dprime_seed7	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
F	0	Unitree-Z1-Hammer-CaT-Impulse-Event-Linear	fsr4x8_f_seed0	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
F	1	Unitree-Z1-Hammer-CaT-Impulse-Event-Linear	fsr4x8_f_seed1	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
F	2	Unitree-Z1-Hammer-CaT-Impulse-Event-Linear	fsr4x8_f_seed2	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
F	3	Unitree-Z1-Hammer-CaT-Impulse-Event-Linear	fsr4x8_f_seed3	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
F	4	Unitree-Z1-Hammer-CaT-Impulse-Event-Linear	fsr4x8_f_seed4	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
F	5	Unitree-Z1-Hammer-CaT-Impulse-Event-Linear	fsr4x8_f_seed5	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
F	6	Unitree-Z1-Hammer-CaT-Impulse-Event-Linear	fsr4x8_f_seed6	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
F	7	Unitree-Z1-Hammer-CaT-Impulse-Event-Linear	fsr4x8_f_seed7	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
E	0	Unitree-Z1-Hammer-CaT-Impulse-Event	fsr4x8_e_seed0	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
E	1	Unitree-Z1-Hammer-CaT-Impulse-Event	fsr4x8_e_seed1	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
E	2	Unitree-Z1-Hammer-CaT-Impulse-Event	fsr4x8_e_seed2	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
E	3	Unitree-Z1-Hammer-CaT-Impulse-Event	fsr4x8_e_seed3	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
E	4	Unitree-Z1-Hammer-CaT-Impulse-Event	fsr4x8_e_seed4	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
E	5	Unitree-Z1-Hammer-CaT-Impulse-Event	fsr4x8_e_seed5	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
E	6	Unitree-Z1-Hammer-CaT-Impulse-Event	fsr4x8_e_seed6	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
E	7	Unitree-Z1-Hammer-CaT-Impulse-Event	fsr4x8_e_seed7	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING
