campaign	arm	short	task	training_seed	checkpoint_path	checkpoint_cache_path	checkpoint_sha256	training_code_revision	training_asset_revision	accepted_training_manifest_sha256
fq4x8	F8	f8	Unitree-Z1-Hammer-CaT-Impulse-Event-Linear	8	/cephhome/eunikhilr/campaigns/fq4x8_9cc6359/unitree_rl_mjlab/logs/rsl_rl/z1_hammer/2026-07-27_20-36-18_fq4x8_f8_seed8/model_499.pt	2026-07-27_20-36-18_fq4x8_f8_seed8/model_499.pt	d67a42a164bc07be3d206e2893ce4f66d17a25c8c800f54f7cb5142985a202cb	9cc63599a54788703e2348019b27908718912377	b58ccd2f81fd246f27c1e8d88cf86484cd888703	fb55f214d6e0cb2da308e6580ef535d4823038bc8ab842a05ca4085ab346ec14
fq4x8	F8	f8	Unitree-Z1-Hammer-CaT-Impulse-Event-Linear	9	/cephhome/eunikhilr/campaigns/fq4x8_9cc6359/unitree_rl_mjlab/logs/rsl_rl/z1_hammer/2026-07-27_20-36-18_fq4x8_f8_seed9/model_499.pt	2026-07-27_20-36-18_fq4x8_f8_seed9/model_499.pt	5d945235ad0e1520be4a11581fa83bcc8df5d150170a66d26edf793d73098043	9cc63599a54788703e2348019b27908718912377	b58ccd2f81fd246f27c1e8d88cf86484cd888703	fb55f214d6e0cb2da308e6580ef535d4823038bc8ab842a05ca4085ab346ec14
fq4x8	F8	f8	Unitree-Z1-Hammer-CaT-Impulse-Event-Linear	10	/cephhome/eunikhilr/campaigns/fq4x8_9cc6359/unitree_rl_mjlab/logs/rsl_rl/z1_hammer/2026-07-27_20-36-22_fq4x8_f8_seed10/model_499.pt	2026-07-27_20-36-22_fq4x8_f8_seed10/model_499.pt	5c4ce05416a0eaf5d3ebcdc6cb1486b947f25f163551e02db3b9f64ea180f40e	9cc63599a54788703e2348019b27908718912377	b58ccd2f81fd246f27c1e8d88cf86484cd888703	fb55f214d6e0cb2da308e6580ef535d4823038bc8ab842a05ca4085ab346ec14
fq4x8	F8	f8	Unitree-Z1-Hammer-CaT-Impulse-Event-Linear	11	/cephhome/eunikhilr/campaigns/fq4x8_9cc6359/unitree_rl_mjlab/logs/rsl_rl/z1_hammer/2026-07-27_20-36-22_fq4x8_f8_seed11/model_499.pt	2026-07-27_20-36-22_fq4x8_f8_seed11/model_499.pt	b680de9a66c99d67245992519ace52ed20055760ebf913669994017289559666	9cc63599a54788703e2348019b27908718912377	b58ccd2f81fd246f27c1e8d88cf86484cd888703	fb55f214d6e0cb2da308e6580ef535d4823038bc8ab842a05ca4085ab346ec14
fq4x8	F8	f8	Unitree-Z1-Hammer-CaT-Impulse-Event-Linear	12	/cephhome/eunikhilr/campaigns/fq4x8_9cc6359/unitree_rl_mjlab/logs/rsl_rl/z1_hammer/2026-07-27_20-36-35_fq4x8_f8_seed12/model_499.pt	2026-07-27_20-36-35_fq4x8_f8_seed12/model_499.pt	0505866c014583990eabc7a284d05f6f6640487b4d326b07cc437ed621c68db3	9cc63599a54788703e2348019b27908718912377	b58ccd2f81fd246f27c1e8d88cf86484cd888703	fb55f214d6e0cb2da308e6580ef535d4823038bc8ab842a05ca4085ab346ec14
fq4x8	F8	f8	Unitree-Z1-Hammer-CaT-Impulse-Event-Linear	13	/cephhome/eunikhilr/campaigns/fq4x8_9cc6359/unitree_rl_mjlab/logs/rsl_rl/z1_hammer/2026-07-27_20-36-31_fq4x8_f8_seed13/model_499.pt	2026-07-27_20-36-31_fq4x8_f8_seed13/model_499.pt	c79091a77c51ee15dfcc88714e372794b7d0a18c1e0a79332be3a54db30f079c	9cc63599a54788703e2348019b27908718912377	b58ccd2f81fd246f27c1e8d88cf86484cd888703	fb55f214d6e0cb2da308e6580ef535d4823038bc8ab842a05ca4085ab346ec14
fq4x8	F8	f8	Unitree-Z1-Hammer-CaT-Impulse-Event-Linear	14	/cephhome/eunikhilr/campaigns/fq4x8_9cc6359/unitree_rl_mjlab/logs/rsl_rl/z1_hammer/2026-07-27_20-36-31_fq4x8_f8_seed14/model_499.pt	2026-07-27_20-36-31_fq4x8_f8_seed14/model_499.pt	844fbeb5a8be094797825b30672dbc32d19383e711eaebd58ead81e9aa361915	9cc63599a54788703e2348019b27908718912377	b58ccd2f81fd246f27c1e8d88cf86484cd888703	fb55f214d6e0cb2da308e6580ef535d4823038bc8ab842a05ca4085ab346ec14
fq4x8	F8	f8	Unitree-Z1-Hammer-CaT-Impulse-Event-Linear	15	/cephhome/eunikhilr/campaigns/fq4x8_9cc6359/unitree_rl_mjlab/logs/rsl_rl/z1_hammer/2026-07-27_20-36-35_fq4x8_f8_seed15/model_499.pt	2026-07-27_20-36-35_fq4x8_f8_seed15/model_499.pt	135994c9d3e5923cc5ac0317639892f69dc89e717d0bd10111e57a53236e3344	9cc63599a54788703e2348019b27908718912377	b58ccd2f81fd246f27c1e8d88cf86484cd888703	fb55f214d6e0cb2da308e6580ef535d4823038bc8ab842a05ca4085ab346ec14
fq4x8	F0	f0	Unitree-Z1-Hammer-CaT-Impulse-Event-Linear-F0	8	/cephhome/eunikhilr/campaigns/fq4x8_9cc6359/unitree_rl_mjlab/logs/rsl_rl/z1_hammer/2026-07-27_20-36-35_fq4x8_f0_seed8/model_499.pt	2026-07-27_20-36-35_fq4x8_f0_seed8/model_499.pt	e053b78cc388dcbd9bf0370c6dbdb1d8c8e550e508f0425f211ff15ebf59430e	9cc63599a54788703e2348019b27908718912377	b58ccd2f81fd246f27c1e8d88cf86484cd888703	fb55f214d6e0cb2da308e6580ef535d4823038bc8ab842a05ca4085ab346ec14
fq4x8	F0	f0	Unitree-Z1-Hammer-CaT-Impulse-Event-Linear-F0	9	/cephhome/eunikhilr/campaigns/fq4x8_9cc6359/unitree_rl_mjlab/logs/rsl_rl/z1_hammer/2026-07-27_20-41-01_fq4x8_f0_seed9/model_499.pt	2026-07-27_20-41-01_fq4x8_f0_seed9/model_499.pt	6b2482a1b2e1f1235d6a62d607771b584b521964402ee5dcd8788398fdf4368c	9cc63599a54788703e2348019b27908718912377	b58ccd2f81fd246f27c1e8d88cf86484cd888703	fb55f214d6e0cb2da308e6580ef535d4823038bc8ab842a05ca4085ab346ec14
