arm,training_seed,checkpoint_sha256,traj_has_contact,traj_contact_substeps,traj_contact_dwell_ms,traj_success,traj_terminal_reason,traj_control_steps,traj_nail_depth_physical_mm,traj_nail_depth_raw_mm,traj_gates_completed,traj_first_contact_s,precontact_segment_perp_max_mm,precontact_segment_perp_rms_mm,full_rollout_segment_perp_max_mm,full_rollout_segment_perp_rms_mm,precontact_window_substeps,traj_path_len_ratio,traj_backward_travel_mm,traj_lateral_excursion_mm,traj_peak_qvel_rad_s,traj_qvel_legal,traj_treatment_payout,imp_v_precontact_m_s,imp_delivered_n_s,imp_axial_force_peak_n,imp_lambda_max_j1,imp_lambda_max_j2,imp_lambda_max_j3,imp_lambda_max_j4,imp_lambda_max_j5,imp_lambda_max_j6,imp_max_cap_ratio,imp_max_cap_joint,imp_contact_substeps,imp_npz_sha256,gates_at_contact_onset,precontact_path_ratio,campaign
C0,2,efa603175b30c230,False,0,0.0,False,step_limit,80,0.0,0.0,0,,381.4,270.41,381.4,270.41,800,,841.14,284.58,5.2556,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2d22c52b7f3a49fd,0,16.7777,wave1
C0,3,3a63289b551b7946,True,6,12.0,True,terminated,8,32.0,37.177,0,0.128,52.5,31.16,52.5,29.92,65,1.4204,0.57,23.69,4.9811,False,0.0,1.8347,0.346613,32.833,0.159252,0.171974,0.033485,0.057571,0.107996,0.008568,0.097105,1,6,064fc8accf7a4722,0,1.4204,wave1
G,2,93367734fce2f439,True,8,16.0,True,terminated,7,32.0,40.536,0,0.116,54.0,32.59,54.0,30.8,59,1.4115,-0.0,46.69,5.0016,False,0.0,1.7089,0.364718,33.032,0.168713,0.176442,0.033124,0.044871,0.094584,0.01188,0.102874,1,8,e638c6cfdc47778f,0,1.4115,wave1
G,3,e2612d61320f5609,True,8,16.0,True,terminated,7,32.0,41.306,6,0.112,10.88,6.0,31.03,9.61,57,1.0392,-0.0,3.52,4.959,False,0.16,1.5659,0.345315,26.605,0.071243,0.167529,0.021865,0.027839,0.04026,0.009305,0.051076,2,8,17b48c7e43cb5d6b,6,1.0392,wave1
P,2,305a9476ecfef2bc,True,6,12.0,True,terminated,7,32.0,33.238,6,0.12,11.88,7.92,18.65,8.54,61,1.0971,-0.0,1.79,4.9661,False,0.16,1.3247,0.308886,32.442,0.15451,0.151883,0.017449,0.065825,0.109289,0.006503,0.094214,1,6,674ba3a7926609ad,6,1.0971,wave1
P,3,88b842d5ad7e8cc6,True,8,16.0,True,terminated,7,32.0,40.962,6,0.112,11.5,5.48,30.88,9.46,57,1.0347,-0.0,5.28,4.9749,False,0.16,1.5683,0.341845,26.934,0.054244,0.165489,0.022113,0.025695,0.034393,0.010502,0.050454,2,8,d05467eef9fbd2c2,6,1.0347,wave1
C0,4,ba65b682eab1c6ba,True,8,16.0,True,terminated,7,32.0,35.148,1,0.12,36.98,21.46,36.98,21.19,61,1.2288,0.03,1.4,5.1091,False,0.0,1.7533,0.357834,28.941,0.136847,0.169786,0.031353,0.034051,0.092765,0.026651,0.083444,1,8,99bb7d6b0fdbb811,1,1.2288,wave2
C0,5,6ae79137035df4fd,True,7,14.0,True,terminated,8,32.0,40.819,0,0.128,51.38,31.01,51.38,29.06,65,1.4365,0.56,23.57,4.9834,False,0.0,1.8352,0.321521,28.106,0.048716,0.154304,0.046447,0.036211,0.024455,0.006746,0.047044,2,7,02657704d7933072,0,1.4365,wave2
C0,6,883478027de53653,True,6,12.0,True,terminated,8,32.0,41.414,0,0.128,54.53,33.68,54.53,31.76,65,1.5052,0.6,35.8,5.0327,False,0.0,1.8544,0.321008,33.331,0.150781,0.156925,0.012154,0.044582,0.107329,0.008924,0.091939,1,6,2b6591acc24494ee,0,1.5052,wave2
C0,7,91ba8bad1a73fa50,True,7,14.0,True,terminated,8,32.0,39.487,0,0.128,51.06,30.03,51.06,28.12,65,1.4321,5.61,22.79,4.982,False,0.0,1.8382,0.309353,28.21,0.032101,0.151538,0.033959,0.0253,0.022888,0.006611,0.046201,2,7,3547d298ffed915d,0,1.4321,wave2
G,4,4c6730b70bcfa0d0,True,8,16.0,True,terminated,7,32.0,41.263,6,0.112,15.86,6.3,31.74,10.55,57,1.0371,-0.0,2.85,4.5699,False,0.16,1.5719,0.37703,30.925,0.209481,0.183284,0.064138,0.060349,0.155154,0.004395,0.127732,1,8,74750b32c7381a6c,6,1.0371,wave2
G,5,b02e53ecb2519862,True,7,14.0,True,terminated,7,32.0,39.115,6,0.112,13.83,5.92,30.61,9.9,57,1.0398,-0.0,12.07,4.5309,False,0.16,1.5718,0.318441,30.907,0.187807,0.150076,0.087508,0.066948,0.129551,0.008983,0.114516,1,7,77b7faff460f7530,6,1.0398,wave2
G,6,326fb7fcf9622a60,True,7,14.0,True,terminated,8,32.0,40.887,0,0.128,54.16,37.6,54.16,35.26,65,1.5194,0.57,44.85,4.9777,False,0.0,1.8336,0.321789,28.163,0.097018,0.15728,0.024005,0.032413,0.048856,0.006531,0.059157,1,7,c7b644b573fda564,0,1.5194,wave2
G,7,fceaad9ad6420eff,True,8,16.0,True,terminated,7,32.0,39.395,6,0.112,14.87,6.42,30.06,10.16,57,1.0356,-0.0,4.62,4.6855,False,0.16,1.5689,0.326811,26.307,0.129989,0.161755,0.091121,0.064588,0.082929,0.01262,0.079262,1,8,91288673062e09f7,6,1.0356,wave2
P,4,e17c36ccb690f9bc,True,8,16.0,True,terminated,7,32.0,45.058,6,0.112,16.46,6.41,31.83,10.64,57,1.0344,-0.0,8.13,4.9239,False,0.16,1.5755,0.381055,28.534,0.112129,0.183462,0.023842,0.040547,0.080303,0.00696,0.068371,1,8,394f60f5e64e8d52,6,1.0344,wave2
P,5,2b758235da143161,True,8,16.0,True,terminated,7,32.0,40.306,6,0.112,16.17,6.7,32.2,11.02,57,1.0413,-0.0,10.69,4.3751,False,0.16,1.5745,0.337911,25.988,0.125517,0.164999,0.0628,0.050429,0.08046,0.00633,0.076535,1,8,48f8917a32a12b24,6,1.0413,wave2
P,6,aea5b3d916e8ff77,True,6,12.0,True,terminated,8,32.0,39.599,0,0.128,50.41,39.11,50.41,36.44,65,1.6372,0.6,49.73,4.9779,False,0.001071,1.8472,0.308072,30.845,0.138694,0.150406,0.009355,0.038189,0.074713,0.010397,0.084569,1,6,3156a315124dab96,0,1.6372,wave2
P,7,20cfbfa88e9c0c6a,True,11,22.0,True,terminated,7,32.0,37.072,6,0.112,13.78,5.85,29.9,9.67,57,1.0298,-0.0,7.01,4.6735,False,0.16,1.5671,0.37717,26.311,0.118115,0.187828,0.158808,0.101137,0.063986,0.013715,0.096834,3,11,abb4a6143ce6ea3e,6,1.0298,wave2
