arm,seed,run_identity,slurm_job_id,train_done_rc,checkpoint_sha256,training_revision,asset_revision,provenance_clean,arm_reward_config_sha256,recorded_env_yaml_sha256,max_iterations,num_envs,imp_max_p,treatment_term,treatment_weight
C0,4,wave2_wave2_c0_seed4,40606838_0,0,ba65b682eab1c6ba7b2bdac9bd81c266d1edf0e94b1479c04f13b83b7a4d299b,e1a0282c9dc7b0283ae632a46a78debfd80bdf8c,b58ccd2f81fd246f27c1e8d88cf86484cd888703,True,47d993698852dc939c753d978e41c9124e24c470e0595439f004d2b561d76fb9,bde844874884026387262408d158351def4c072f8d65f874d8d55738b5c1428d,200,4096,0.0,None,None
C0,5,wave2_wave2_c0_seed5,40606838_1,0,6ae79137035df4fdaa8841f4d252b23f46ff3f2b1623621c7a24bbaad75bf506,e1a0282c9dc7b0283ae632a46a78debfd80bdf8c,b58ccd2f81fd246f27c1e8d88cf86484cd888703,True,47d993698852dc939c753d978e41c9124e24c470e0595439f004d2b561d76fb9,f58e04a1d67e5dbfaf6173795c3e4e65e689e41304b5ab965ad002b628f973aa,200,4096,0.0,None,None
C0,6,wave2_wave2_c0_seed6,40606838_2,0,883478027de53653d01a4e4e41243dc43bb591a0effab59a4796a200f3378003,e1a0282c9dc7b0283ae632a46a78debfd80bdf8c,b58ccd2f81fd246f27c1e8d88cf86484cd888703,True,47d993698852dc939c753d978e41c9124e24c470e0595439f004d2b561d76fb9,9cc3cedcd8fca05d6ececf5a15a13157c59fda169c850c8f7ee8f3f106e4e923,200,4096,0.0,None,None
C0,7,wave2_wave2_c0_seed7,40606838_3,0,91ba8bad1a73fa50d37ee3c807bbeb7376575361cc8473ef4393788e0a333c25,e1a0282c9dc7b0283ae632a46a78debfd80bdf8c,b58ccd2f81fd246f27c1e8d88cf86484cd888703,True,47d993698852dc939c753d978e41c9124e24c470e0595439f004d2b561d76fb9,809a98f77330f3dc410a167861409752a6512e7c7064b2a3e6507d2c3110fd31,200,4096,0.0,None,None
G,4,wave2_wave2_g_seed4,40606839_0,0,4c6730b70bcfa0d0f52d586f25fecff32952f96ffdc1f0ef628ac08ec3aa851a,e1a0282c9dc7b0283ae632a46a78debfd80bdf8c,b58ccd2f81fd246f27c1e8d88cf86484cd888703,True,a5b767b22a77ecfc068eea9885ff88c4bedcd2035e5622627650a20216431e0f,984961c038a08e27e4d0ac31eb35c26817ef1f5e6b4a1a32ee6c21615c379897,200,4096,0.0,r_gate,8.0
G,5,wave2_wave2_g_seed5,40606839_1,0,b02e53ecb25198626695f56298719f3577d142cb42429a6fec0d33081515bcb1,e1a0282c9dc7b0283ae632a46a78debfd80bdf8c,b58ccd2f81fd246f27c1e8d88cf86484cd888703,True,a5b767b22a77ecfc068eea9885ff88c4bedcd2035e5622627650a20216431e0f,10d4d5ee1ceaa5654e3ecd8a295da1b57308445a37b2632c4c497e6d04bdf428,200,4096,0.0,r_gate,8.0
G,6,wave2_wave2_g_seed6,40606839_2,0,326fb7fcf9622a606100e8bd8da36737fc104b3bc65e06eb977d352cf54c3979,e1a0282c9dc7b0283ae632a46a78debfd80bdf8c,b58ccd2f81fd246f27c1e8d88cf86484cd888703,True,a5b767b22a77ecfc068eea9885ff88c4bedcd2035e5622627650a20216431e0f,fd8bada3d6621fd5887e2d10611b8f24fed054891e1c800886ea16f9b1d4389d,200,4096,0.0,r_gate,8.0
G,7,wave2_wave2_g_seed7,40606839_3,0,fceaad9ad6420effc67e78b2289a416835689364d9c08233519948b29a655ef0,e1a0282c9dc7b0283ae632a46a78debfd80bdf8c,b58ccd2f81fd246f27c1e8d88cf86484cd888703,True,a5b767b22a77ecfc068eea9885ff88c4bedcd2035e5622627650a20216431e0f,600d1970cb826465659cd4e5df365ebb0e1d5f2bee153fdb53c0a40bd293bbff,200,4096,0.0,r_gate,8.0
P,4,wave2_wave2_p_seed4,40606840_0,0,e17c36ccb690f9bca8272be9283dcc3c74d5570304c2e486e20e9b03f634ca79,e1a0282c9dc7b0283ae632a46a78debfd80bdf8c,b58ccd2f81fd246f27c1e8d88cf86484cd888703,True,dca539d938e6eb15cb0ececebf78e9d2972870045edf6b52967d16f6945ed264,79d6726591c688f771b1e2d0e172387591c76bf5e1d130e7d9cf5f4cfe4326de,200,4096,0.0,r_waypoint_progress,8.0
P,5,wave2_wave2_p_seed5,40606840_1,0,2b758235da14316173f5e3423ca514021610cc75438d959eea729c9ce492376f,e1a0282c9dc7b0283ae632a46a78debfd80bdf8c,b58ccd2f81fd246f27c1e8d88cf86484cd888703,True,dca539d938e6eb15cb0ececebf78e9d2972870045edf6b52967d16f6945ed264,314c3ce3612b09df3b7603d004ccbe52c552a9f4f869510b555cdf51a877e9aa,200,4096,0.0,r_waypoint_progress,8.0
P,6,wave2_wave2_p_seed6,40606840_2,0,aea5b3d916e8ff7767b1581c4eee202b997896a85362a17ab912ed77adbc9901,e1a0282c9dc7b0283ae632a46a78debfd80bdf8c,b58ccd2f81fd246f27c1e8d88cf86484cd888703,True,dca539d938e6eb15cb0ececebf78e9d2972870045edf6b52967d16f6945ed264,02f9998707a52ee2a711006d7aa8b2379148eb8cae7e0663ef909f810dd00d76,200,4096,0.0,r_waypoint_progress,8.0
P,7,wave2_wave2_p_seed7,40606840_3,0,20cfbfa88e9c0c6ab2b4df457fd4d395a86a3dbd74b26944da95e21c0b2f3f99,e1a0282c9dc7b0283ae632a46a78debfd80bdf8c,b58ccd2f81fd246f27c1e8d88cf86484cd888703,True,dca539d938e6eb15cb0ececebf78e9d2972870045edf6b52967d16f6945ed264,a2cb3f38bb7fe160aea180ef855a0b8be8eea8984a9e191327871e738eb5201d,200,4096,0.0,r_waypoint_progress,8.0
